YEAR,CAN_ESM2|45 PPMEAN,CESM1_BGC|45 PPMEAN,GFDL_ESM2G|45 PPMEAN,GFDL_ESM2M|45 PPMEAN,HADGEM2_CC|45 PPMEAN,HADGEM2_ES|45 PPMEAN,IPSL_CM5A_LR|45 PPMEAN,IPSL_CM5A_MR|45 PPMEAN,IPSL_CM5B_LR|45 PPMEAN,MIROC_ESM|45 PPMEAN,MPI_ESM_LR|45 PPMEAN,MPI_ESM_MR|45 PPMEAN,NORESM1|45 PPMEAN
1976,602.4665527,450.9744873,468.2409363,640.3283081,248.1114197,220.5566101,312.7584534,281.5032654,167.7345276,109.7768097,214.8593903,159.9085083,312.5971985
1977,623.5797729,463.7321472,454.9736023,641.7027588,242.2051239,229.7212524,281.621582,293.3211975,139.134491,105.3867416,218.652298,163.7346802,302.3862
1978,607.1581421,456.3175659,460.8856812,594.1639404,236.769455,224.8116455,277.4284973,308.5521545,143.4732971,109.104805,204.8074036,181.6161652,330.3398743
1979,624.838501,454.1316528,466.5384827,613.5072021,248.4250946,216.6700287,294.3816223,282.8646851,158.6732788,109.7032547,228.0844879,175.6227875,340.8067627
1980,599.6283569,473.5831604,454.3822327,619.0287476,230.3869324,246.5554352,309.5232239,310.0756226,140.0937653,107.541275,233.311676,166.4337769,342.7426147
1981,572.3823853,442.3889771,464.6660461,611.3352661,213.8071594,233.3157806,289.9781494,342.7795105,132.6456604,110.7887039,247.0996552,181.6489716,355.0812988
1982,591.4772949,446.2023926,490.0453186,596.5146484,204.8539124,255.0627899,293.8542175,299.048584,143.7835693,109.5740204,235.9292297,183.540863,344.8114624
1983,564.4364624,494.4862366,473.9573059,615.777771,222.2662506,249.3782349,280.1209106,310.1862488,134.1385193,106.8155365,222.3970642,179.1353607,297.483551
1984,562.1674194,427.1688843,466.2278137,609.0412598,222.2000885,236.6612701,292.195282,299.6704407,122.9748611,107.2913132,222.5968018,175.5764618,331.1932068
1985,549.3499756,430.8278809,495.6388855,630.1964722,222.8241577,258.026825,290.0275879,293.9004517,126.9985352,111.1679459,212.0107269,173.8187256,333.0829163
1986,544.3622437,452.7273865,455.6403198,614.1102905,236.0906219,257.2344971,293.9595947,283.5006104,124.8366928,114.1213684,231.3821106,186.4612579,318.9484253
1987,567.7045898,477.8575439,465.5672913,628.4129639,238.9711914,227.0834808,298.9768066,290.7401428,141.2189636,108.6927261,222.046463,191.4266968,319.297699
1988,572.977478,447.6326904,481.3603821,601.7827759,229.3000793,204.5486755,293.5684814,358.6739807,152.3374023,107.7355804,222.1434174,202.7149658,298.3404846
1989,605.3770752,454.9074097,450.3321228,612.1499634,237.7823334,196.9662323,288.3755493,306.5097656,156.682663,104.9043427,237.2161865,183.9848022,300.3425293
1990,593.940979,463.2442322,446.6927795,616.5912476,233.1615601,200.0539398,287.7990723,312.4217224,162.4439545,108.9299774,224.1300507,178.3681946,309.7781067
1991,576.6386108,446.2333069,490.9502563,601.2521362,222.4153137,207.3341064,302.7525635,330.6250916,156.0737457,110.2931213,212.4176788,186.9399719,313.0810547
1992,596.0935669,458.3726501,450.4095764,641.7622681,234.8098297,221.2034149,282.4788818,306.2026062,159.3914185,110.0451431,230.2529297,178.720108,334.6568604
1993,597.0615234,461.3973083,454.8617249,587.7608643,232.3049774,233.5486603,286.4788818,316.0752563,204.6438446,116.4041672,214.7873077,173.000824,315.1515198
1994,544.2506714,429.4308167,473.197937,595.5439453,225.8861084,234.0049286,273.9224243,314.5444336,164.863739,116.6844406,197.8375092,178.6304016,336.2678528
1995,561.734314,459.8061523,481.896637,595.1738892,248.0527802,222.2117157,253.750946,316.5542603,166.6277466,117.0108719,211.0674438,173.0504608,329.4028015
1996,567.3303223,460.346344,480.9277039,622.1030884,238.6820984,219.1188049,318.1564026,316.117218,167.97789,113.0394516,232.7371826,178.355545,326.4293518
