Year,Capuzzo,ERSEM
1980,,102.4873963
1981,,109.3121422
1982,,111.0956474
1983,,105.0513055
1984,,102.2771519
1985,,101.3419898
1986,,113.2237242
1987,,98.65306636
1988,190.5902172,102.1462371
1989,266.8742237,116.1345703
1990,269.3720902,109.7428554
1991,177.4993536,104.2406712
1992,278.8929082,106.107835
1993,414.1355523,105.9549626
1994,340.8235209,113.1091677
1995,326.4312808,109.0465636
1996,334.6002624,99.54807972
1997,235.4089002,121.5628053
1998,432.5743038,128.6689859
1999,256.2425584,122.0385401
2000,215.8248715,122.2869505
2001,232.8611406,120.819436
2002,173.6906217,117.7787072
2003,214.707974,123.080538
2004,163.1889333,118.3408471
2005,113.8806282,111.751511
2006,144.7201678,115.1266123
2007,184.1821379,115.3621335
2008,122.0660533,115.0941713
2009,211.3461185,119.5406318
2010,282.3614522,112.8617364
2011,200.6345625,115.3639981
2012,116.359499,115.5216912
2013,179.1024734,119.3127558
2014,,125.3507458
2015,,124.3998677
2016,,120.1574153
2017,,118.2866674
2018,,115.3768738
