"Year","ACCESS-ESM1-5","CanESM5","CESM2","CESM2-WACCM","GFDL-ESM4","MIROC-ES2L","MPI-ESM1-2-LR","IPSL-CM6A-LR","NorESM2-LM","UKESM1-0-LL"
2015,1.07732593219221e-07,2.04502097267876e-07,3.16536071169338e-07,3.20489705839568e-07,4.25853873884931e-07,2.24606874107655e-07,2.67115701511555e-07,2.25741193818186e-07,1.87819741151101e-07,4.62236198877519e-07
2016,1.06711094534649e-07,2.00980256272869e-07,2.87387583010639e-07,3.02264542003623e-07,4.13943055305513e-07,2.25082875078495e-07,2.76449416581474e-07,2.31488942728951e-07,1.92657034302746e-07,4.63006634470575e-07
2017,1.03047932989721e-07,1.93204213751263e-07,2.93785689564972e-07,2.96842653296169e-07,4.40315585517714e-07,2.15560642870903e-07,2.74969229981349e-07,2.19784481551607e-07,2.02761199023787e-07,4.44952293797632e-07
2018,9.69417581979357e-08,1.65953686629868e-07,3.17522127572037e-07,3.23878766952767e-07,4.3133326631364e-07,2.16502462338964e-07,2.48134388946754e-07,2.15916194159729e-07,2.15671800195179e-07,4.48898038100086e-07
2019,1.05580757639347e-07,1.51023612012763e-07,3.12952673177852e-07,2.92934429416553e-07,4.27490805176364e-07,2.15375845205205e-07,2.54216499275593e-07,2.35789425644042e-07,2.05953202844916e-07,4.49536782586886e-07
2020,1.04341828006237e-07,1.77746361096736e-07,3.09871407248395e-07,2.96378071404189e-07,4.48174688625234e-07,2.24699445092613e-07,2.77289802655913e-07,2.24734739005401e-07,1.94291460465625e-07,4.77354400693067e-07
2021,1.02114716195307e-07,1.42006927104986e-07,3.01865399239238e-07,2.91850820836003e-07,4.40867139022238e-07,2.19698006739037e-07,2.78801409650896e-07,2.11973318971189e-07,1.90536129037033e-07,4.76712395493232e-07
2022,9.80540809165145e-08,1.04222175530893e-07,3.1343549550282e-07,2.98227905858294e-07,4.44221838680307e-07,2.14114626225736e-07,2.80508549115392e-07,1.98368344435251e-07,1.99540824959089e-07,4.56917324373859e-07
2023,1.00274558147876e-07,1.04553160376527e-07,3.01551339222498e-07,3.00349414978685e-07,4.3101926574806e-07,1.92293602276489e-07,2.58651830623826e-07,2.12691185766061e-07,2.05363140799741e-07,3.84351303230504e-07
2024,1.02396237083343e-07,9.40365316171651e-08,3.21614288848253e-07,3.16305366416422e-07,4.23648259604249e-07,1.8688758329054e-07,2.59282733396255e-07,2.07164641110184e-07,1.86406500811579e-07,3.71397006975952e-07
2025,9.8033135190624e-08,1.03197226215503e-07,2.92779635311237e-07,2.88805268664619e-07,4.23297104815331e-07,1.75988034859465e-07,2.44494255502844e-07,1.97985111294377e-07,1.95349689896971e-07,4.06807408783164e-07
2026,9.61791854250331e-08,1.40120099685109e-07,3.10744760343645e-07,2.95879988002702e-07,4.44480460723708e-07,1.86407038479309e-07,2.39184575054469e-07,2.04090248387615e-07,2.11781186331288e-07,4.16422059949717e-07
2027,1.06314094427383e-07,1.04752721418183e-07,3.22500491298561e-07,3.06601876476289e-07,4.35577357216052e-07,1.96927337889448e-07,2.47329575554814e-07,2.24591892667845e-07,1.9109336160673e-07,3.63376253183213e-07
2028,1.07891557955723e-07,6.90434412004788e-08,3.01938874377182e-07,2.95340110631798e-07,4.01260518343807e-07,1.9431221973781e-07,2.25230116709615e-07,2.12781880323891e-07,1.94361330947982e-07,3.32488250908274e-07
2029,9.72989474491502e-08,1.06582733808479e-07,2.93422890882201e-07,2.95142995574157e-07,4.21216134496162e-07,2.05835345586159e-07,2.37999522104502e-07,2.19398650562428e-07,2.06090076587804e-07,3.04447085609994e-07
